id,userID,gameSessionID,gameType,time
3740,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3739,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3738,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3737,649772868,19,numberGame,2022-03-04 06:56:48+00:00
3736,649772868,18,numberGame,2022-03-04 06:56:39+00:00
3735,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3734,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3733,3979696,17,numberGame,2022-03-03 14:19:30+00:00
3732,649772868,17,numberGame,2022-03-03 16:59:15+00:00
3731,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3730,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3729,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3728,39005574,13,numberGame,2022-02-27 13:41:29+00:00
3727,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3726,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3725,3979696,16,numberGame,2022-03-02 20:35:03+00:00
3724,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3723,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3722,3979696,15,numberGame,2022-03-02 17:09:40+00:00
3721,3979696,14,numberGame,2022-03-02 17:06:33+00:00
3720,649772868,16,numberGame,2022-03-02 16:00:23+00:00
3719,39005574,13,numberGame,2022-02-27 13:41:29+00:00
3718,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3717,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3716,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3715,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3714,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3713,51258742,14,numberGame,2022-03-02 09:40:44+00:00
3712,649772868,15,numberGame,2022-03-02 07:24:19+00:00
3711,649772868,14,numberGame,2022-03-01 21:37:56+00:00
3710,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3709,51258742,13,numberGame,2022-03-01 10:14:26+00:00
3708,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3707,649772868,13,numberGame,2022-03-01 07:32:37+00:00
3706,3979696,13,numberGame,2022-03-01 06:36:09+00:00
3705,3979696,12,numberGame,2022-03-01 06:35:32+00:00
3704,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3703,51258742,12,numberGame,2022-02-28 20:52:40+00:00
3702,649772868,12,numberGame,2022-02-28 17:32:08+00:00
3701,3979696,11,numberGame,2022-02-28 16:38:17+00:00
3700,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3699,51258742,11,numberGame,2022-02-28 12:15:05+00:00
3698,3979696,10,numberGame,2022-02-28 10:23:53+00:00
3697,3979696,9,numberGame,2022-02-27 17:37:04+00:00
3696,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3695,649772868,11,numberGame,2022-02-28 07:18:41+00:00
3694,51258742,10,numberGame,2022-02-27 20:53:11+00:00
3693,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3692,3979696,9,numberGame,2022-02-27 17:37:04+00:00
3691,649772868,10,numberGame,2022-02-27 17:09:01+00:00
3690,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3689,39005574,11,numberGame,2022-02-26 13:47:48+00:00
3688,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3687,39005574,11,numberGame,2022-02-26 13:47:48+00:00
3686,39005574,10,numberGame,2022-02-26 08:39:13+00:00
3685,51258742,9,numberGame,2022-02-27 08:17:31+00:00
3684,649772868,9,numberGame,2022-02-27 07:30:24+00:00
3683,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3682,51258742,8,numberGame,2022-02-26 21:58:01+00:00
3681,3979696,8,numberGame,2022-02-26 17:29:01+00:00
3680,649772868,8,numberGame,2022-02-26 16:30:33+00:00
3679,39005574,10,numberGame,2022-02-26 08:39:13+00:00
3678,39005574,9,numberGame,2022-02-25 13:40:45+00:00
3677,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3676,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3675,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3674,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3673,51258742,7,numberGame,2022-02-26 10:35:46+00:00
3672,51258742,6,numberGame,2022-02-26 10:25:05+00:00
3671,39005574,9,numberGame,2022-02-25 13:40:45+00:00
3670,39005574,8,numberGame,2022-02-25 11:33:40+00:00
3669,649772868,7,numberGame,2022-02-26 07:36:52+00:00
3668,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3667,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3666,51258742,5,numberGame,2022-02-25 20:43:03+00:00
3665,649772868,6,numberGame,2022-02-25 20:01:44+00:00
3664,51258742,4,numberGame,2022-02-25 12:00:28+00:00
3663,3979696,7,numberGame,2022-02-25 15:32:39+00:00
3662,39005574,8,numberGame,2022-02-25 11:33:40+00:00
3661,3979696,6,numberGame,2022-02-25 12:43:43+00:00
3660,51258742,4,numberGame,2022-02-25 12:00:28+00:00
3659,39005574,8,numberGame,2022-02-25 11:33:40+00:00
3658,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3657,2085617431,1,numberGame,2022-02-25 11:10:18+00:00
3656,39005574,7,numberGame,2022-02-25 08:45:05+00:00
3655,39005574,6,numberGame,2022-02-25 08:43:14+00:00
3654,39005574,5,numberGame,2022-02-25 08:30:30+00:00
3653,39005574,4,numberGame,2022-02-24 13:31:27+00:00
3652,39005574,3,numberGame,2022-02-24 08:38:07+00:00
3651,649772868,5,numberGame,2022-02-25 07:30:24+00:00
3650,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3649,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3648,51258742,3,numberGame,2022-02-24 22:11:04+00:00
3647,649772868,4,numberGame,2022-02-24 16:21:17+00:00
3646,39005574,3,numberGame,2022-02-24 08:38:07+00:00
3645,3979696,5,numberGame,2022-02-24 12:44:19+00:00
3644,51258742,2,numberGame,2022-02-24 09:07:05+00:00
3643,39005574,3,numberGame,2022-02-24 08:38:07+00:00
3642,3979696,4,numberGame,2022-02-24 08:35:54+00:00
3641,649772868,3,numberGame,2022-02-24 07:30:32+00:00
